timestamp,prompt_version,query_type,passed,failure_category,latency_ms,cost_usd
2026-09-14T10:00:00,v3,Billing,1,None,420,0.0008
2026-09-14T10:05:00,v3,Technical,1,None,510,0.0010
2026-09-14T10:10:00,v3,Delivery,1,None,390,0.0007
2026-09-14T10:15:00,v3,Account,1,None,450,0.0009
2026-09-14T10:20:00,v3,Technical,0,Wrong_Category,680,0.0012
2026-09-14T10:25:00,v3,Billing,1,None,470,0.0009
2026-09-14T10:30:00,v3,Delivery,1,None,410,0.0008
2026-09-14T10:35:00,v3,Account,1,None,440,0.0009
2026-09-14T10:40:00,v3,Technical,0,Wrong_Category,720,0.0013
2026-09-14T10:45:00,v3,Billing,1,None,430,0.0008
2026-09-14T18:23:28.353932,v3,Billing,1,None,0.08,0.0000
2026-09-14T18:23:28.354968,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.355974,v3,Billing,1,None,0.07,0.0000
2026-09-14T18:23:28.356964,v3,Billing,1,None,0.06,0.0000
2026-09-14T18:23:28.357678,v3,Billing,1,None,0.01,0.0000
2026-09-14T18:23:28.358375,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.359040,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.360135,v3,Billing,1,None,0.35,0.0000
2026-09-14T18:23:28.360936,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.361631,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.362319,v3,Billing,1,None,0.03,0.0000
2026-09-14T18:23:28.362994,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.363646,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.364368,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.365262,v3,Billing,1,None,0.04,0.0000
2026-09-14T18:23:28.366216,v3,Billing,1,None,0.03,0.0000
2026-09-14T18:23:28.367020,v3,Billing,1,None,0.04,0.0000
2026-09-14T18:23:28.367752,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.368488,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.369356,v3,Billing,1,None,0.03,0.0000
2026-09-14T18:23:28.370048,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.370742,v3,Billing,1,None,0.03,0.0000
2026-09-14T18:23:28.371384,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.372025,v3,Billing,1,None,0.02,0.0000
